   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :0(Clock)
        1    0.000    0.000    0.000    0.000 :0(GetFullPathName)
        2    0.000    0.000    0.000    0.000 :0(GetModuleFilename)
        1    0.000    0.000    0.000    0.000 :0(GetTempPath)
        1    0.000    0.000    0.000    0.000 :0(Info)
        1    0.000    0.000    0.000    0.000 :0(Joystick)
        2    0.000    0.000    0.000    0.000 :0(LoadLibrary)
        1    0.000    0.000    0.000    0.000 :0(LoadModule)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        1    0.000    0.000    0.000    0.000 :0(RegOpenKey)
       78    0.000    0.000    0.000    0.000 :0(S_ISDIR)
        5    0.000    0.000    0.000    0.000 :0(S_ISREG)
  537/533    0.016    0.000    0.219    0.000 :0(__build_class__)
      118    0.000    0.000    0.000    0.000 :0(__contains__)
        1    0.000    0.000    0.000    0.000 :0(__enter__)
        1    0.000    0.000    0.000    0.000 :0(__exit__)
   355/20    0.016    0.000    1.062    0.053 :0(__import__)
     1389    0.000    0.000    0.000    0.000 :0(__new__)
      471    0.000    0.000    0.000    0.000 :0(__reduce_ex__)
       37    0.000    0.000    0.000    0.000 :0(_abc_init)
      136    0.000    0.000    0.000    0.000 :0(_abc_instancecheck)
       13    0.000    0.000    0.000    0.000 :0(_abc_register)
    41/16    0.000    0.000    0.000    0.000 :0(_abc_subclasscheck)
        2    0.000    0.000    0.000    0.000 :0(_add_dll_directory)
        5    0.000    0.000    0.000    0.000 :0(_filters_mutated)
      208    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       46    0.016    0.000    0.016    0.000 :0(_getfinalpathname)
       47    0.000    0.000    0.000    0.000 :0(_getframe)
        5    0.000    0.000    0.000    0.000 :0(_getfullpathname)
        1    0.000    0.000    0.000    0.000 :0(_set_factories)
        1    0.000    0.000    0.000    0.000 :0(_set_sentinel)
    11750    0.062    0.000    0.062    0.000 :0(abs)
        2    0.000    0.000    0.000    0.000 :0(acquire)
     1933    0.000    0.000    0.000    0.000 :0(acquire_lock)
      746    0.000    0.000    0.000    0.000 :0(add)
      298    0.000    0.000    0.000    0.000 :0(add_docstring)
      217    0.000    0.000    0.000    0.000 :0(all)
      604    0.000    0.000    0.000    0.000 :0(allocate_lock)
     1226    0.000    0.000    0.000    0.000 :0(any)
   401596    0.766    0.000    0.766    0.000 :0(append)
      106    0.000    0.000    0.000    0.000 :0(array)
        4    0.000    0.000    0.000    0.000 :0(ascii_iscased)
        4    0.000    0.000    0.000    0.000 :0(ascii_tolower)
      154    0.000    0.000    0.000    0.000 :0(atan2)
        1    0.016    0.016    0.016    0.016 :0(audit)
       32    0.000    0.000    0.000    0.000 :0(bit_length)
   246666    2.453    0.000    2.453    0.000 :0(blit)
       23    0.000    0.000    0.000    0.000 :0(calcsize)
        6    0.000    0.000    0.000    0.000 :0(callable)
        7    0.000    0.000    0.000    0.000 :0(cast)
       31    0.000    0.000    0.000    0.000 :0(charmap_decode)
       14    0.000    0.000    0.000    0.000 :0(charmap_encode)
      557    0.000    0.000    0.000    0.000 :0(chr)
       14    0.000    0.000    0.000    0.000 :0(clear)
        3    0.000    0.000    0.000    0.000 :0(close)
   228744    0.484    0.000    0.484    0.000 :0(collidepoint)
    39361    0.109    0.000    0.109    0.000 :0(colliderect)
      405    0.062    0.000    0.062    0.000 :0(compile)
        2    0.000    0.000    0.000    0.000 :0(connect)
       60    0.000    0.000    0.000    0.000 :0(copy)
      622    0.000    0.000    0.000    0.000 :0(cos)
       16    0.000    0.000    0.000    0.000 :0(create_builtin)
    58/55    0.078    0.001    0.094    0.002 :0(create_dynamic)
      157    0.000    0.000    0.000    0.000 :0(cursor)
       45    0.000    0.000    0.000    0.000 :0(decode)
      308    0.000    0.000    0.000    0.000 :0(degrees)
        5    0.000    0.000    0.000    0.000 :0(delattr)
        4    0.000    0.000    0.000    0.000 :0(dir)
